donor_id	vcf_iid
SK10160	3_23005#X0030449#207435550051#R02C01
SK10813	4_23005#X0030450#207435550051#R03C01
SK00397	5_23005#X0030451#207435550051#R04C01
SK00136	6_23005#X0030452#207435550051#R05C01
SK00440	7_23005#X0030453#207435550051#R06C01
SK00143	8_23005#X0030454#207435550051#R07C01
SK11912	9_23005#X0030455#207435550051#R08C01
SK10727	10_23005#X0030456#207435550051#R09C01
SK00407	11_23005#X0030457#207435550051#R10C01
SK00398	12_23005#X0030458#207435550051#R11C01
SK10540	13_23005#X0030459#207435550051#R12C01
SK00016	14_23005#X0030460#207435550051#R01C02
SK00383	15_23005#X0030461#207435550051#R02C02
SK00181	17_23005#X0030463#207435550051#R04C02
ET_S_161	18_23005#X0030464#207435550051#R05C02
ET_S_177	19_23005#X0030465#207435550051#R06C02
ET_S_189	20_23005#X0030466#207435550051#R07C02
ET_S_191	21_23005#X0030467#207435550051#R08C02
ET_S_203	22_23005#X0030468#207435550051#R09C02
ET_S_212	23_23005#X0030469#207435550051#R10C02
ET_S_221	24_23005#X0030470#207435550051#R11C02
ET_S_224	25_23005#X0030471#207435550051#R12C02
ET_S_248	27_23005#X0030473#207439570082#R02C01
ET_S_302	28_23005#X0030474#207439570082#R03C01
ET_S_329	29_23005#X0030475#207439570082#R04C01
ET_S_350	30_23005#X0030476#207439570082#R05C01
ET_S_358	31_23005#X0030477#207439570082#R06C01
ET_S_374	32_23005#X0030478#207439570082#R07C01
ET_S_383	33_23005#X0030479#207439570082#R08C01
411	34_23005#X0030480#207439570082#R09C01
428	35_23005#X0030481#207439570082#R10C01
445	36_23005#X0030482#207439570082#R11C01
461	37_23005#X0030483#207439570082#R12C01
467	38_23005#X0030484#207439570082#R01C02
488	39_23005#X0030485#207439570082#R02C02
503	40_23005#X0030486#207439570082#R03C02
505	41_23005#X0030487#207439570082#R04C02
513	42_23005#X0030488#207439570082#R05C02
515	43_23005#X0030489#207439570082#R06C02
528	44_23005#X0030490#207439570082#R07C02
531	45_23005#X0030491#207439570082#R08C02
533	46_23005#X0030492#207439570082#R09C02
537	47_23005#X0030493#207439570082#R10C02
557	48_23005#X0030494#207439570082#R11C02
558	49_23005#X0030495#207439570082#R12C02
568	50_23005#X0030496#207439570043#R01C01
580	51_23005#X0030497#207439570043#R02C01
586	52_23005#X0030498#207439570043#R03C01
609	53_23005#X0030499#207439570043#R04C01
615	54_23005#X0030500#207439570043#R05C01
616	55_23005#X0030501#207439570043#R06C01
627	56_23005#X0030502#207439570043#R07C01
636	57_23005#X0030503#207439570043#R08C01
638	58_23005#X0030504#207439570043#R09C01
645	59_23005#X0030505#207439570043#R10C01
650	60_23005#X0030506#207439570043#R11C01
708	61_23005#X0030507#207439570043#R12C01
726	63_23005#X0030509#207439570043#R02C02
727	64_23005#X0030510#207439570043#R03C02
741	65_23005#X0030511#207439570043#R04C02
770	66_23005#X0030512#207439570043#R05C02
776	67_23005#X0030513#207439570043#R06C02
780	68_23005#X0030514#207439570043#R07C02
782	69_23005#X0030515#207439570043#R08C02
785	70_23005#X0030516#207439570043#R09C02
796	71_23005#X0030517#207439570043#R10C02
797	72_23005#X0030518#207439570043#R11C02
798	73_23005#X0030519#207439570043#R12C02
808	74_23005#X0030520#207442160086#R01C01
814	75_23005#X0030521#207442160086#R02C01
821	76_23005#X0030522#207442160086#R03C01
850	77_23005#X0030523#207442160086#R04C01
881	78_23005#X0030524#207442160086#R05C01
883	79_23005#X0030525#207442160086#R06C01
965	80_23005#X0030526#207442160086#R07C01
974	82_23005#X0030528#207442160086#R09C01
989	83_23005#X0030529#207442160086#R10C01
1117	84_23005#X0030530#207442160086#R11C01
1194	85_23005#X0030531#207442160086#R12C01
1252	86_23005#X0030532#207442160086#R01C02
1274	87_23005#X0030533#207442160086#R02C02
1291	88_23005#X0030534#207442160086#R03C02
1344	89_23005#X0030535#207442160086#R04C02
1374	90_23005#X0030536#207442160086#R05C02
1389	91_23005#X0030537#207442160086#R06C02
1391	92_23005#X0030538#207442160086#R07C02
1402	93_23005#X0030539#207442160086#R08C02
1419	94_23005#X0030540#207442160086#R09C02
1443	95_23005#X0030541#207442160086#R10C02
1454	96_23005#X0030542#207442160086#R11C02
1495	98_23005#X0030544#207442160059#R01C01
1535	99_23005#X0030545#207442160059#R02C01
1547	100_23005#X0030546#207442160059#R03C01
1582	101_23005#X0030547#207442160059#R04C01
1687	102_23005#X0030548#207442160059#R05C01
1709	103_23005#X0030549#207442160059#R06C01
1763	104_23005#X0030550#207442160059#R07C01
1783	105_23005#X0030551#207442160059#R08C01
1881	106_23005#X0030552#207442160059#R09C01
1900	108_23005#X0030554#207442160059#R11C01
1990	109_23005#X0030555#207442160059#R12C01
2010	110_23005#X0030556#207442160059#R01C02
1487	111_23005#X0030543#207442160059#R02C02
